id,Account,Amount,Counterparty,Tags,Date,Location
511,Joint Account,330.42,Fairprice,"Entertainment, Dining, General Expenses",2022-06-24,Australia
512,Joint Account,919.29,Google,"General Expenses, Transportation",2022-11-14,Japan
513,Joint Account,383.28,Gojek,"Entertainment, General Expenses, Groceries, Travel, Dining, Transportation",2022-09-23,Indonesia
514,Joint Account,992.89,ACME,"Entertainment, Travel, Dining, General Expenses, Transportation, Groceries",2022-09-23,Singapore
515,Checking,783.75,Grab,"Groceries, Dining, Entertainment, Travel, General Expenses, Transportation",2022-06-16,Japan
516,Checking,4.15,Walmart,Entertainment,2022-11-04,Singapore
517,Savings,747.28,Google,"Entertainment, Transportation",2022-07-22,Japan
518,Checking,274.21,Fairprice,"Groceries, Dining, Travel, Entertainment, Transportation",2022-10-15,Singapore
519,Joint Account,148.02,Grab,"Transportation, Entertainment, Dining, Travel",2022-06-13,Japan
520,Savings,344.18,Gojek,"Transportation, Groceries, Dining, General Expenses",2022-12-26,Japan
521,Checking,584.36,ACME,"Dining, Groceries, Entertainment, Travel",2022-12-23,Singapore
522,Joint Account,193.89,Google,"Groceries, Dining, Travel",2022-08-10,Indonesia
523,Checking,996.91,Amazon,"Groceries, Entertainment, General Expenses, Dining, Travel",2022-08-07,Japan
524,Joint Account,733.85,Fairprice,"Transportation, Groceries, Travel, General Expenses, Dining",2022-08-23,Singapore
525,Savings,642.71,Grab,"Travel, Transportation",2022-12-19,Singapore
526,Checking,534.42,Gojek,"Transportation, Travel, Dining, Groceries",2022-12-03,Japan
527,Savings,238.94,Google,"Travel, Entertainment, Dining, Transportation, General Expenses",2022-07-30,Singapore
528,Joint Account,722.06,Uber,Dining,2022-12-14,Japan
529,Savings,683.9,ACME,"Transportation, General Expenses",2022-06-24,Japan
530,Checking,109.45,Amazon,"General Expenses, Dining, Travel",2022-06-02,Indonesia
531,Joint Account,624.42,Walmart,"Transportation, Entertainment, Travel, Groceries, Dining, General Expenses",2022-11-30,Singapore
532,Savings,427.52,Fairprice,"Dining, Travel, Transportation, Entertainment, Groceries",2022-09-02,Japan
533,Savings,53.98,Grab,Dining,2022-08-11,Singapore
534,Joint Account,593.8,Amazon,Entertainment,2022-08-03,Australia
535,Joint Account,552.94,ACME,"Groceries, Transportation, General Expenses, Entertainment, Dining, Travel",2022-06-16,Indonesia
536,Joint Account,139.15,Fairprice,"Entertainment, Groceries, Dining, Transportation",2022-08-15,Singapore
537,Joint Account,370.35,Gojek,Travel,2022-12-26,Indonesia
538,Savings,102.45,Google,Groceries,2022-07-06,Singapore
539,Savings,494.31,ACME,"Groceries, Transportation, General Expenses",2022-08-09,Indonesia
540,Savings,638.45,Google,Travel,2022-08-07,Indonesia
541,Joint Account,674.0,Fairprice,"Transportation, Dining, Groceries, Travel, General Expenses, Entertainment",2022-06-27,Australia
542,Joint Account,369.6,Grab,"Travel, Groceries, General Expenses, Transportation, Dining, Entertainment",2022-10-28,Australia
543,Checking,986.93,Walmart,"Dining, Travel, Entertainment, Groceries, General Expenses",2022-10-21,Australia
544,Savings,438.6,Amazon,Dining,2022-10-30,Japan
545,Savings,76.33,Starbucks,Entertainment,2022-06-12,Indonesia
546,Checking,682.52,Gojek,Dining,2022-06-24,Indonesia
547,Joint Account,809.8,Google,"Groceries, Dining, Travel, General Expenses",2022-12-05,Indonesia
548,Savings,396.31,Uber,Groceries,2022-06-06,Singapore
549,Savings,861.11,Google,"Transportation, Groceries",2022-12-16,Indonesia
550,Checking,63.61,Starbucks,"Entertainment, Groceries, Transportation",2022-10-03,Indonesia
551,Joint Account,941.42,Starbucks,"Transportation, General Expenses, Dining",2022-09-01,Indonesia
552,Savings,716.05,Grab,"General Expenses, Transportation, Dining, Entertainment, Groceries, Travel",2022-08-07,Australia
553,Savings,468.03,Gojek,"Travel, Groceries, Transportation, Entertainment",2022-10-16,Singapore
554,Joint Account,361.2,Google,"Transportation, Groceries, Travel",2022-07-10,Australia
555,Checking,301.06,Amazon,Travel,2022-09-05,Japan
556,Checking,238.32,Starbucks,"Transportation, Entertainment, Dining",2022-10-12,Indonesia
557,Savings,665.97,Uber,"Transportation, General Expenses, Dining, Entertainment",2022-10-21,Singapore
558,Joint Account,651.7,Walmart,"Groceries, Transportation, General Expenses, Entertainment, Dining",2022-10-30,Japan
559,Checking,925.26,Starbucks,Entertainment,2022-08-10,Singapore
560,Checking,205.04,Starbucks,Entertainment,2022-07-24,Indonesia
561,Savings,941.5,ACME,"Transportation, Dining, Entertainment, General Expenses, Groceries",2022-08-11,Indonesia
562,Joint Account,583.81,Grab,"Dining, Entertainment, Travel, General Expenses",2022-07-02,Japan
563,Joint Account,765.21,Gojek,"Entertainment, Travel, Transportation, Dining",2022-06-24,Australia
564,Savings,905.4,Uber,"Dining, Groceries, Entertainment, Travel, General Expenses, Transportation",2022-09-19,Singapore
565,Joint Account,452.09,Amazon,"Groceries, Travel",2022-06-13,Japan
566,Checking,164.68,Uber,"Transportation, General Expenses",2022-11-24,Japan
567,Checking,310.04,Uber,"Groceries, General Expenses",2022-10-21,Singapore
568,Joint Account,960.47,Fairprice,"General Expenses, Entertainment, Groceries",2022-06-23,Indonesia
569,Savings,202.8,ACME,"Travel, Entertainment, Transportation, Dining, Groceries, General Expenses",2022-11-24,Australia
570,Joint Account,46.25,ACME,"Groceries, Transportation, Travel, Dining, General Expenses, Entertainment",2022-12-06,Indonesia
571,Savings,791.95,Starbucks,"Entertainment, Transportation, Groceries, General Expenses, Travel",2022-08-05,Australia
572,Checking,169.21,Uber,Groceries,2022-09-04,Japan
573,Checking,778.62,Grab,"Groceries, Dining, Travel, Transportation",2022-08-03,Singapore
574,Savings,374.3,ACME,"Entertainment, Transportation, Travel, Dining, General Expenses, Groceries",2022-06-08,Indonesia
575,Savings,344.89,Grab,"Travel, Entertainment",2022-09-29,Indonesia
576,Joint Account,39.02,Starbucks,"Entertainment, General Expenses",2022-12-17,Singapore
577,Joint Account,917.46,Starbucks,"Groceries, Dining, Travel",2022-07-07,Australia
578,Joint Account,986.78,Gojek,"Travel, Dining, Entertainment",2022-08-23,Indonesia
579,Savings,238.71,Walmart,"Transportation, General Expenses, Travel, Groceries",2022-06-25,Japan
580,Checking,768.83,Grab,"Dining, General Expenses, Transportation, Entertainment, Travel",2022-10-05,Japan
581,Checking,806.07,Google,"Groceries, Travel",2022-06-16,Australia
582,Joint Account,731.05,Fairprice,"Transportation, Travel, Groceries, Dining, Entertainment, General Expenses",2022-08-15,Australia
583,Checking,857.7,Google,"Transportation, General Expenses, Groceries, Entertainment, Travel",2022-11-11,Australia
584,Joint Account,11.53,Gojek,"Groceries, Travel, General Expenses, Transportation, Entertainment",2022-12-30,Indonesia
585,Savings,802.01,Uber,Groceries,2022-09-07,Indonesia
586,Joint Account,225.8,Grab,"Dining, Groceries",2022-07-09,Australia
587,Savings,655.65,Uber,"Entertainment, Transportation, General Expenses, Groceries, Travel",2022-09-15,Japan
588,Joint Account,480.58,Amazon,"Transportation, Travel, General Expenses, Groceries",2022-08-10,Indonesia
589,Savings,681.49,Walmart,"Groceries, Transportation",2022-06-11,Japan
590,Checking,555.19,Google,Travel,2022-11-14,Japan
591,Joint Account,41.81,Uber,General Expenses,2022-08-20,Australia
592,Joint Account,205.88,Walmart,"Travel, General Expenses, Groceries, Dining",2022-11-24,Indonesia
593,Savings,280.58,Walmart,"Transportation, Entertainment",2022-12-31,Indonesia
594,Joint Account,918.96,Gojek,"General Expenses, Entertainment, Dining",2022-09-04,Japan
595,Checking,613.12,Gojek,"Entertainment, General Expenses, Groceries, Transportation, Travel",2022-12-19,Singapore
596,Checking,270.14,Starbucks,"Transportation, Groceries, Dining",2022-11-06,Singapore
597,Checking,711.08,Amazon,"Groceries, Transportation, General Expenses",2022-11-03,Indonesia
598,Joint Account,123.88,Fairprice,"Dining, General Expenses, Transportation, Entertainment",2022-10-29,Indonesia
599,Checking,796.6,Amazon,"Entertainment, Groceries, Dining",2022-09-14,Singapore
600,Joint Account,335.0,Fairprice,"Groceries, Transportation, Entertainment, Travel, General Expenses",2022-12-24,Indonesia
601,Savings,571.8,Starbucks,"Travel, Entertainment, Transportation, Groceries, General Expenses, Dining",2022-06-11,Indonesia
602,Checking,410.44,Starbucks,"Travel, Groceries, Entertainment",2022-09-02,Japan
603,Checking,351.23,Amazon,"Travel, Entertainment, Transportation, General Expenses, Groceries, Dining",2022-12-22,Japan
604,Joint Account,146.67,Starbucks,Transportation,2022-06-18,Japan
605,Savings,81.72,Uber,"Dining, Groceries",2022-07-01,Indonesia
606,Savings,849.69,Grab,"Travel, Dining",2022-06-17,Australia
607,Joint Account,581.39,ACME,Travel,2022-11-19,Australia
608,Checking,121.09,Grab,General Expenses,2022-07-24,Singapore
609,Checking,468.58,Starbucks,"Travel, Groceries",2022-12-18,Singapore
610,Checking,841.26,Amazon,Groceries,2022-10-04,Singapore
611,Joint Account,283.37,Fairprice,Groceries,2022-11-14,Japan
612,Savings,321.49,ACME,"Entertainment, Travel, Transportation",2022-06-19,Australia
613,Checking,634.3,Google,"Entertainment, Dining, General Expenses, Groceries, Travel",2022-06-14,Japan
614,Checking,307.01,Uber,General Expenses,2022-08-21,Japan
615,Checking,289.53,Google,"Groceries, Transportation, Entertainment, Travel",2022-11-14,Indonesia
616,Checking,234.07,Walmart,"Travel, Transportation, General Expenses, Entertainment",2022-08-05,Singapore
617,Checking,618.91,Uber,"Groceries, Dining",2022-12-30,Australia
618,Savings,503.68,Fairprice,Dining,2022-12-05,Indonesia
619,Savings,822.16,Amazon,"Transportation, Entertainment, Travel",2022-09-29,Australia
620,Joint Account,757.26,ACME,Groceries,2022-07-14,Australia
621,Savings,299.37,Gojek,"Transportation, Entertainment, Travel, Groceries, Dining, General Expenses",2022-09-14,Indonesia
622,Savings,520.97,Starbucks,"Dining, Groceries",2022-07-04,Australia
623,Joint Account,654.54,Google,"Transportation, General Expenses, Dining, Groceries",2022-10-04,Japan
624,Joint Account,690.29,Uber,Entertainment,2022-11-16,Australia
625,Savings,7.27,Fairprice,"Dining, Transportation",2022-09-27,Japan
626,Savings,955.45,Walmart,"Travel, General Expenses",2022-06-14,Australia
627,Checking,922.08,Google,"Groceries, General Expenses, Entertainment, Transportation, Dining",2022-09-21,Singapore
628,Savings,625.9,Grab,"General Expenses, Entertainment, Travel, Transportation, Dining",2022-07-08,Indonesia
629,Checking,590.03,Starbucks,"Transportation, Travel",2022-08-09,Indonesia
630,Checking,586.94,Gojek,Dining,2022-09-10,Australia
631,Checking,561.14,ACME,"Dining, Entertainment",2022-12-03,Indonesia
632,Checking,527.1,ACME,"Travel, Entertainment, Transportation, Groceries, Dining, General Expenses",2022-12-30,Indonesia
633,Joint Account,407.22,Uber,Travel,2022-06-16,Singapore
634,Checking,873.2,ACME,"Dining, General Expenses, Groceries, Travel, Entertainment",2022-11-18,Japan
635,Savings,686.8,Amazon,"Travel, Entertainment, Groceries, Transportation",2022-07-20,Indonesia
636,Joint Account,844.71,Starbucks,"Transportation, Travel",2022-09-19,Australia
637,Joint Account,947.15,Starbucks,"Dining, Entertainment, Travel, Transportation, Groceries, General Expenses",2022-09-21,Australia
638,Joint Account,546.22,Gojek,"Groceries, Dining, Travel, Transportation",2022-11-27,Australia
639,Savings,772.54,Uber,"General Expenses, Entertainment, Transportation, Travel, Groceries, Dining",2022-09-27,Singapore
640,Savings,94.67,Google,"Transportation, Entertainment, Groceries, Travel, General Expenses, Dining",2022-10-09,Australia
641,Joint Account,684.56,Amazon,Groceries,2022-12-11,Australia
642,Checking,576.91,Walmart,Transportation,2022-07-13,Japan
643,Checking,98.13,ACME,"Travel, Dining, General Expenses, Entertainment",2022-12-23,Australia
644,Joint Account,504.64,Amazon,"Entertainment, Groceries, General Expenses, Dining",2022-11-08,Australia
645,Checking,414.11,Starbucks,Entertainment,2022-06-22,Japan
646,Joint Account,852.28,ACME,"General Expenses, Travel",2022-11-18,Indonesia
647,Checking,971.11,ACME,"Dining, Entertainment, General Expenses, Groceries, Travel",2022-10-24,Indonesia
648,Checking,874.28,Amazon,"Groceries, Dining, General Expenses, Entertainment, Travel, Transportation",2022-10-22,Singapore
649,Savings,228.93,Uber,"Entertainment, Dining, Groceries, General Expenses, Travel",2022-12-23,Japan
650,Joint Account,666.58,Gojek,"Dining, Groceries",2022-08-21,Australia
651,Joint Account,232.44,Walmart,"Travel, Dining, Transportation, General Expenses",2022-08-14,Australia
652,Savings,485.35,Walmart,Dining,2022-08-01,Japan
653,Checking,502.7,Amazon,"Groceries, Transportation",2022-11-01,Singapore
654,Joint Account,609.18,Google,"Transportation, General Expenses",2022-08-17,Indonesia
655,Checking,996.98,Starbucks,"Entertainment, Travel, Dining, Groceries",2022-08-03,Singapore
656,Savings,198.77,Uber,"General Expenses, Groceries, Travel, Transportation",2022-08-12,Singapore
657,Joint Account,664.98,Uber,"Dining, Entertainment",2022-08-07,Australia
658,Savings,471.72,ACME,"General Expenses, Groceries, Transportation, Travel, Dining, Entertainment",2022-07-24,Singapore
659,Joint Account,845.16,Gojek,"Entertainment, Travel",2022-11-21,Japan
660,Checking,16.08,Walmart,Transportation,2022-11-30,Australia
661,Checking,291.61,Google,"General Expenses, Transportation, Dining",2022-11-21,Australia
662,Checking,942.41,Uber,"Dining, Groceries",2022-10-12,Singapore
663,Checking,551.46,Walmart,"Dining, Transportation",2022-08-03,Indonesia
664,Joint Account,155.32,Fairprice,"General Expenses, Dining, Travel, Groceries",2022-06-29,Indonesia
665,Savings,301.23,Google,"Entertainment, Groceries, General Expenses, Travel",2022-08-18,Japan
666,Joint Account,718.61,Uber,"Travel, Entertainment, Transportation",2022-10-31,Australia
667,Joint Account,200.39,ACME,"Groceries, Travel, Entertainment, General Expenses, Transportation",2022-12-04,Australia
668,Savings,225.53,Walmart,"Transportation, General Expenses",2022-06-10,Australia
669,Joint Account,735.85,Gojek,"General Expenses, Transportation, Groceries, Entertainment, Dining, Travel",2022-08-17,Australia
670,Savings,851.08,Starbucks,"Dining, Groceries, Entertainment, General Expenses",2022-11-28,Australia
671,Joint Account,898.55,Starbucks,"General Expenses, Dining, Entertainment, Groceries, Travel, Transportation",2022-07-23,Singapore
672,Savings,240.19,Amazon,"Transportation, Groceries, General Expenses",2022-08-10,Japan
673,Joint Account,64.65,Starbucks,"Transportation, Groceries, Dining, General Expenses, Entertainment",2022-10-29,Japan
674,Joint Account,428.12,Walmart,"Entertainment, General Expenses, Groceries",2022-11-22,Australia
675,Savings,590.19,Gojek,"Entertainment, Dining, Travel",2022-07-21,Singapore
676,Checking,75.63,Gojek,"Travel, Entertainment, Transportation, Groceries, Dining",2022-11-27,Singapore
677,Joint Account,47.85,Amazon,Entertainment,2022-09-22,Japan
678,Savings,955.61,ACME,Transportation,2022-08-19,Australia
679,Joint Account,348.37,Gojek,"Entertainment, Dining, Transportation",2022-12-25,Australia
680,Checking,510.63,Gojek,"Groceries, Travel, Dining, General Expenses, Entertainment, Transportation",2022-12-09,Singapore
681,Savings,224.59,Walmart,"Travel, Groceries",2022-12-31,Australia
682,Savings,533.06,Amazon,"Transportation, General Expenses, Travel, Groceries, Entertainment, Dining",2022-09-23,Japan
683,Savings,874.76,Walmart,"Entertainment, General Expenses, Groceries, Dining, Transportation, Travel",2022-06-20,Indonesia
684,Joint Account,489.14,Grab,"Transportation, Groceries, Travel, Dining",2022-12-10,Singapore
685,Savings,523.32,Amazon,"General Expenses, Transportation, Travel, Dining, Entertainment",2022-12-31,Australia
686,Savings,611.12,Fairprice,"Travel, Groceries, General Expenses, Dining",2022-07-05,Australia
687,Joint Account,229.27,Uber,"Entertainment, Travel, Groceries, General Expenses",2022-12-01,Japan
688,Joint Account,889.01,Amazon,"Travel, Groceries, Entertainment, Transportation",2022-11-27,Australia
689,Joint Account,526.07,Walmart,"Dining, Transportation",2022-12-22,Singapore
690,Checking,804.25,Grab,"Entertainment, Dining, Groceries, Transportation, Travel",2022-08-06,Australia
691,Checking,24.92,Fairprice,"Transportation, General Expenses, Entertainment, Groceries, Dining",2022-06-22,Indonesia
692,Savings,977.83,Grab,"Groceries, General Expenses",2022-06-29,Australia
693,Joint Account,696.28,Starbucks,"Dining, Groceries, Transportation",2022-10-16,Australia
694,Joint Account,846.82,Fairprice,"General Expenses, Travel, Entertainment",2022-09-06,Singapore
695,Joint Account,145.48,Amazon,"Transportation, Groceries, Travel",2022-06-28,Australia
696,Savings,688.17,Gojek,"Transportation, Dining, Entertainment, General Expenses",2022-07-22,Australia
697,Savings,819.81,Uber,"Entertainment, Travel",2022-10-17,Australia
698,Joint Account,595.52,Amazon,"Entertainment, Dining, Groceries, Travel, General Expenses, Transportation",2022-10-12,Japan
699,Savings,257.97,Amazon,"Groceries, General Expenses, Travel, Transportation",2022-09-02,Indonesia
700,Joint Account,903.53,Walmart,"Transportation, Dining, General Expenses, Travel, Groceries, Entertainment",2022-12-04,Japan
701,Savings,971.79,ACME,"Transportation, Dining, Entertainment, General Expenses, Travel",2022-09-15,Australia
702,Checking,962.1,Fairprice,"Transportation, Groceries",2022-08-11,Singapore
703,Savings,334.64,Fairprice,"General Expenses, Groceries",2022-08-14,Singapore
704,Joint Account,561.57,ACME,"Transportation, Groceries, General Expenses, Dining",2022-11-17,Australia
705,Checking,853.66,Google,"General Expenses, Entertainment, Dining",2022-06-05,Japan
706,Savings,614.22,Uber,"Dining, General Expenses, Transportation",2022-12-08,Japan
707,Savings,697.47,Uber,"Dining, Groceries, Transportation, Travel, General Expenses",2022-11-06,Japan
708,Savings,172.86,ACME,"General Expenses, Entertainment, Dining, Transportation, Groceries, Travel",2022-06-29,Australia
709,Savings,259.35,Uber,"Groceries, Transportation, Entertainment, Travel, General Expenses",2022-09-01,Indonesia
710,Checking,269.05,Amazon,"Dining, General Expenses, Groceries",2022-10-04,Japan
711,Savings,952.59,Amazon,"Groceries, Entertainment",2022-08-09,Indonesia
712,Joint Account,285.61,ACME,"Entertainment, Groceries",2022-07-17,Japan
713,Checking,654.41,Gojek,"Transportation, Dining, Entertainment, Groceries, General Expenses",2022-08-22,Indonesia
714,Savings,296.67,Google,"Transportation, Groceries, General Expenses, Entertainment, Dining, Travel",2022-08-03,Indonesia
715,Savings,632.07,Gojek,"Travel, Transportation, Entertainment, General Expenses, Dining",2022-09-03,Indonesia
716,Checking,612.54,Uber,"Dining, Groceries",2022-06-18,Australia
717,Joint Account,595.39,ACME,General Expenses,2022-09-24,Indonesia
718,Checking,316.05,Grab,"Transportation, Groceries",2022-09-10,Indonesia
719,Joint Account,686.05,Amazon,Travel,2022-10-13,Indonesia
720,Savings,914.47,Google,"Travel, Dining, Entertainment",2022-09-22,Singapore
721,Joint Account,695.6,Gojek,"Transportation, Groceries, Entertainment",2022-06-16,Indonesia
722,Savings,368.27,Walmart,"General Expenses, Transportation, Dining, Groceries",2022-07-19,Singapore
723,Savings,730.55,Fairprice,"Groceries, Travel",2022-11-07,Singapore
724,Joint Account,871.19,Starbucks,"Travel, General Expenses, Entertainment, Transportation",2022-08-27,Japan
725,Joint Account,402.51,Uber,"Groceries, Transportation, Travel, General Expenses, Entertainment",2022-12-10,Indonesia
726,Joint Account,752.51,Google,"General Expenses, Groceries, Dining",2022-08-18,Indonesia
727,Savings,421.59,Walmart,"Dining, Transportation, General Expenses, Travel, Groceries",2022-09-18,Singapore
728,Savings,496.83,Amazon,"Transportation, Groceries, General Expenses",2022-06-10,Indonesia
729,Checking,248.73,Grab,Dining,2022-07-07,Japan
730,Joint Account,546.07,Grab,"Transportation, Groceries, Travel, General Expenses",2022-08-22,Singapore
731,Savings,344.58,Grab,Entertainment,2022-09-12,Singapore
732,Savings,102.87,Google,"Travel, Groceries, Dining, Transportation, General Expenses, Entertainment",2022-10-07,Indonesia
733,Savings,851.0,Grab,"Groceries, Dining, Transportation, General Expenses",2022-09-01,Japan
734,Joint Account,444.54,Grab,Travel,2022-09-24,Japan
735,Joint Account,271.63,Gojek,"Groceries, Travel, Transportation, General Expenses",2022-08-18,Singapore
736,Savings,596.29,Starbucks,"Groceries, Transportation",2022-08-19,Indonesia
737,Checking,781.82,Starbucks,"Travel, Entertainment, General Expenses, Dining, Transportation",2022-10-02,Singapore
738,Savings,667.92,Walmart,"Dining, Transportation, Groceries, Travel",2022-08-06,Australia
739,Checking,711.95,Gojek,"General Expenses, Groceries, Entertainment, Dining",2022-08-19,Singapore
740,Checking,520.39,Gojek,"General Expenses, Entertainment, Transportation, Travel",2022-09-14,Indonesia
741,Savings,608.88,Fairprice,"Groceries, Travel",2022-12-17,Singapore
742,Joint Account,644.51,Fairprice,"Entertainment, Groceries, General Expenses, Dining, Transportation",2022-11-27,Indonesia
743,Checking,876.21,Walmart,"General Expenses, Dining, Entertainment",2022-06-29,Singapore
744,Joint Account,447.92,Fairprice,"General Expenses, Transportation",2022-11-27,Singapore
745,Checking,371.7,Starbucks,Transportation,2022-10-08,Indonesia
746,Joint Account,440.7,Amazon,"Travel, Transportation, Entertainment, Groceries, Dining, General Expenses",2022-07-07,Australia
747,Joint Account,354.25,Fairprice,"Entertainment, Dining, Travel, Groceries",2022-12-25,Singapore
748,Joint Account,33.87,Google,"General Expenses, Transportation, Travel, Dining",2022-08-27,Japan
749,Checking,761.52,Walmart,"Groceries, General Expenses, Travel, Transportation",2022-07-31,Indonesia
750,Savings,700.99,Uber,"Dining, Transportation, Entertainment, Travel, Groceries, General Expenses",2022-11-29,Australia
751,Checking,623.91,Walmart,"Entertainment, Dining",2022-12-05,Singapore
752,Savings,234.13,Gojek,"General Expenses, Transportation, Entertainment, Travel, Dining, Groceries",2022-11-05,Australia
753,Checking,20.01,Google,"Entertainment, Transportation, Travel, Dining, Groceries",2022-10-10,Japan
754,Savings,956.73,Grab,"Groceries, Travel, Entertainment, General Expenses",2022-10-04,Indonesia
755,Savings,46.54,Fairprice,"General Expenses, Dining, Transportation, Groceries, Entertainment",2022-06-11,Indonesia
756,Savings,617.87,Gojek,"Travel, Transportation, Groceries",2022-08-01,Japan
757,Joint Account,941.35,Fairprice,"Groceries, Entertainment",2022-12-18,Japan
758,Joint Account,456.22,Walmart,"Entertainment, Transportation",2022-10-28,Australia
759,Joint Account,139.36,Fairprice,"Dining, Travel, General Expenses",2022-09-24,Japan
760,Savings,202.3,Walmart,Entertainment,2022-09-14,Indonesia
761,Checking,192.72,Grab,"General Expenses, Entertainment, Travel",2022-09-22,Indonesia
762,Savings,530.07,Google,General Expenses,2022-06-27,Japan
763,Joint Account,809.64,Starbucks,Dining,2022-06-13,Singapore
764,Checking,206.56,ACME,"Dining, Groceries, General Expenses, Transportation, Travel, Entertainment",2022-08-11,Indonesia
765,Joint Account,658.16,Grab,"Transportation, Groceries, Travel",2022-12-30,Japan
766,Savings,305.89,Grab,"Entertainment, Transportation, General Expenses, Dining",2022-10-18,Indonesia
767,Savings,753.48,Amazon,General Expenses,2022-12-14,Australia
768,Savings,155.03,Starbucks,"Entertainment, Dining, Travel, Groceries, General Expenses, Transportation",2022-06-14,Australia
769,Savings,201.15,Grab,"General Expenses, Dining, Travel, Entertainment",2022-11-12,Australia
770,Savings,30.56,Gojek,"Entertainment, General Expenses, Transportation, Dining, Groceries",2022-12-10,Indonesia
771,Checking,730.49,Starbucks,"General Expenses, Transportation, Groceries, Entertainment, Dining, Travel",2022-07-17,Australia
772,Savings,517.06,ACME,General Expenses,2022-12-20,Australia
773,Savings,787.79,Walmart,"Travel, General Expenses, Entertainment, Groceries, Transportation, Dining",2022-09-12,Australia
774,Savings,673.69,ACME,"Dining, General Expenses",2022-07-29,Australia
775,Savings,146.42,Gojek,"Transportation, Groceries, General Expenses, Entertainment, Travel",2022-09-19,Indonesia
776,Joint Account,191.89,ACME,Transportation,2022-10-10,Australia
777,Savings,777.31,ACME,"Groceries, Dining, Transportation",2022-07-02,Indonesia
778,Checking,588.96,Fairprice,"Entertainment, Dining, General Expenses, Groceries, Transportation, Travel",2022-11-10,Australia
779,Savings,845.25,Starbucks,"Dining, Transportation, Groceries, Travel",2022-10-16,Australia
780,Savings,776.94,Google,"Entertainment, General Expenses, Groceries, Transportation, Travel",2022-11-03,Japan
781,Checking,716.89,Uber,General Expenses,2022-11-01,Indonesia
782,Joint Account,329.06,Google,"Entertainment, Groceries, Dining",2022-09-10,Singapore
783,Checking,199.73,Walmart,"Groceries, General Expenses, Entertainment, Transportation, Dining",2022-09-01,Japan
784,Savings,849.05,Gojek,"Groceries, Transportation, Dining, Travel",2022-10-07,Singapore
785,Joint Account,392.74,Starbucks,"Travel, General Expenses",2022-07-06,Singapore
786,Checking,132.05,Fairprice,"Entertainment, Transportation, General Expenses, Groceries, Travel",2022-07-01,Japan
787,Checking,821.87,Amazon,"Dining, Travel, Transportation, Groceries, Entertainment, General Expenses",2022-09-14,Singapore
788,Checking,932.23,Fairprice,"Transportation, Entertainment, Travel, Groceries",2022-08-03,Singapore
789,Savings,950.48,Walmart,"Transportation, General Expenses, Travel, Entertainment, Dining",2022-11-18,Australia
790,Joint Account,965.81,Starbucks,"Travel, Dining, General Expenses, Groceries, Transportation",2022-09-10,Indonesia
791,Joint Account,448.82,Gojek,Travel,2022-07-23,Singapore
792,Savings,583.11,Walmart,"Travel, General Expenses, Entertainment, Dining",2022-06-23,Singapore
793,Checking,770.11,Uber,"General Expenses, Transportation, Dining, Groceries",2022-06-09,Australia
794,Savings,621.75,Starbucks,"Entertainment, Groceries, Travel, General Expenses, Dining, Transportation",2022-07-29,Indonesia
795,Savings,392.06,ACME,"Groceries, Dining, General Expenses, Entertainment",2022-11-17,Singapore
796,Savings,214.52,Fairprice,"General Expenses, Dining",2022-06-06,Japan
797,Checking,832.9,ACME,Groceries,2022-11-21,Singapore
798,Savings,386.84,Google,"Travel, Dining, Entertainment, Groceries, Transportation",2022-08-18,Singapore
799,Checking,537.08,Starbucks,"Dining, Transportation",2022-09-09,Australia
800,Checking,366.47,ACME,"Travel, General Expenses, Transportation",2022-12-28,Japan
801,Savings,912.37,Grab,"Entertainment, General Expenses, Groceries, Dining, Travel, Transportation",2022-10-03,Singapore
802,Checking,809.92,Uber,"General Expenses, Travel, Dining",2022-12-10,Australia
803,Checking,233.18,Fairprice,"Groceries, General Expenses, Transportation, Dining, Entertainment",2022-07-13,Singapore
804,Checking,87.27,Uber,Entertainment,2022-09-10,Singapore
805,Checking,186.91,Amazon,"Travel, Transportation, Groceries, General Expenses, Dining, Entertainment",2022-12-05,Indonesia
806,Savings,933.14,Grab,"Groceries, Entertainment, Dining, Transportation, General Expenses",2022-08-05,Australia
807,Savings,64.28,Google,"Groceries, Travel, General Expenses, Entertainment, Dining",2022-12-13,Japan
808,Joint Account,336.23,Grab,"Dining, Groceries, Transportation, Travel, Entertainment",2022-07-15,Japan
809,Checking,896.33,Google,"Travel, Transportation, General Expenses, Entertainment, Groceries",2022-09-19,Australia
810,Checking,251.24,Amazon,"Transportation, Dining, Travel",2022-06-22,Australia
811,Joint Account,344.71,Amazon,"Groceries, Entertainment, Travel, General Expenses, Dining",2022-08-13,Japan
812,Checking,258.32,Starbucks,"Entertainment, Groceries, Travel, Transportation, General Expenses",2022-12-26,Japan
813,Savings,952.45,ACME,"Travel, Entertainment, Dining, Transportation, Groceries",2022-11-27,Australia
814,Joint Account,490.45,Gojek,"Entertainment, Dining",2022-09-06,Indonesia
815,Joint Account,544.02,Amazon,Travel,2022-11-13,Japan
816,Savings,547.24,Starbucks,"Entertainment, General Expenses, Dining, Groceries, Transportation, Travel",2022-12-11,Singapore
817,Savings,965.11,Grab,"General Expenses, Transportation, Entertainment, Dining, Groceries",2022-07-05,Indonesia
818,Joint Account,313.71,Gojek,"Transportation, Dining, Entertainment, Groceries, Travel, General Expenses",2022-12-28,Singapore
